# libSceHttp
+G+UsJpeXPc sceHttpGetCookie
C4UgDHHPvdw sceNetResolverCreate
Cidi9Y65mP8 sceNetGetSockInfo6
E8dTcvQw3hg sceNetShowIfconfigWithMemory
GA5ZDaLtUBE sceNetGetStatisticsInfo
GAtITrgxKDE sce_net_in6addr_any
H5WHYRfDkR0 sceNetShowNetstatWithMemory
HQOwnfMGipQ sceNetErrnoLoc
Inp1lfL+Jdw sceNetEpollDestroy
J5i3hiLJMPk sceNetResolverGetError
JQk8ck8vnPY sceNetResolverConnect
K7RlrTkI-mw sceNetPoolDestroy
Nd91WaWmG2w sceNetResolverStartNtoa
OXXX4mUk3uk sceNetConnect
P3AeWBvPrkg sce_net_in6addr_loopback
PIWqhn9oSxc sceNetAccept
PgNI+j4zxzM sce_net_in6addr_nodelocal_allnodes
Q4qBuN-c0ZM sceNetSocket
QFPjG6rqeZg sceNetResolverConnectDestroy
RCCY01Xd+58 sceNetResolverStartNtoaMultipleRecords
Rbvt+5Y2iEw sceNetNtohs
SF47kB2MNTo sceNetEpollCreate
TCZyE2YI1uM sceNetShowRoute6WithMemory
TCkRD0DWNLg sceNetGetpeername
TSM6whtekok sceNetShutdown
UjkVLnP+n0M sceNetGetInterfaceStats
V5q6gvEJpw4 sceNetResolverConnectCreate
WxislcDAW5I sceNetShowNetstat
XCuA-GqjA-k in6addr_loopback
ZRAJo-A-ukc in6addr_any
ZVw46bsasAk sceNetEpollControl
b-bFZvNV59I sceNetEtherStrton
bErx49PgxyY sceNetBind
beRjXBn-z+o sceNetSend
bonnMiDoOZg sceNetResolverConnectAbort
cEMX1VcPpQ8 sceNetShowRoute
dbrSNEuZfXI sceNetShowPolicyWithMemory
dgJBaeJnGpo sceNetPoolCreate
drjIbDbA7UQ sceNetEpollWait
eyLyLJrdEOU sceNetClearDnsCache
fCa7-ihdRdc sceNetShowRoute6
gvD1greCu0A sceNetSendto
hLuXdjHnhiI sceNetGetSockInfo
hoOAofhhRvE sceNetGetsockname
iWQWrwiSt8A sceNetHtons
k1V1djYpk7k sceNetShowIfconfig
kJlYH5uMAWI sceNetResolverDestroy
kOj1HiAGE54 sceNetListen
pQGpHYopAIY sceNetNtohl
rMyh97BU5pY sceNetGetMemoryPoolStats
sT4nBQKUPqM sceNetResolverStartNtoaMultipleRecordsEx
tOrRi-v3AOM sceNetNtohll
tk0p0JmiBkM sceNetShowPolicy
v6M4txecCuo sceNetEtherNtostr
w21YgGGNtBk sceNetEpollAbort
wvuUDv0jrMI sceNetRecvmsg
xphrZusl78E sceNetGetsockopt
zJGf8xjFnQE sceNetSocketAbort
zl35YNs9jnI sceNetResolverStartNtoa6
zvzWA5IZMsg sceNetResolverStartAton6
# libSceNetCtl
+lxqIKeU9UY sceNetCtlGetStateV6
0cBgduPRR+M sceNetCtlGetResult
1NE9OWdBIww sceNetCtlRegisterCallbackV6
H5yARg37U5g sceNetCtlGetResultV6
JO4yuTuMoKI sceNetCtlGetNatInfo
Jy1EO5GdlcM sceNetCtlGetInfoV6
Rqm2OnZMCz0 sceNetCtlUnregisterCallback
UJ+Z7Q+4ck0 sceNetCtlRegisterCallback
Z4wwCFiBELQ sceNetCtlTerm
gky0+oaNM4k sceNetCtlInit
hIUVeUNxAwc sceNetCtlUnregisterCallbackV6
iQw3iQPhvUQ sceNetCtlCheckCallback
obuxdTiwkF8 sceNetCtlGetInfo
teuK4QnJTGg sceNetCtlGetIfStat
uBPlr0lbuiI sceNetCtlGetState
# libSceNetCtlAp
19Ec7WkMFfQ sceNetCtlApCheckCallback
4jkLJc954+Q sceNetCtlApGetResult
AKZOzsb9whc sceNetCtlApGetState
FdN+edNRtiw sceNetCtlApInit
LXADzTIzM9I sceNetCtlApGetInfo
NpTcFtaQ-0E sceNetCtlApUnregisterCallback
cv5Y2efOTeg sceNetCtlApTerm
hfkLVdXmfnU sceNetCtlApGetConnectInfo
meFMaDpdsVI sceNetCtlApClearEvent
pmjobSVHuY0 sceNetCtlApRegisterCallback
r-pOyN6AhsM sceNetCtlApStop
# libSceNet_nosubmission
JK1oZe4UysY sceNetEmulationGet
pfn3Fha1ydc sceNetEmulationSet
# libSceRudp
+BJ9svDmjYs sceRudpNetFlush
0yzYdZf0IwE sceRudpSetOption
2G7-vVz9SIg sceRudpGetLocalInfo
3hBvwqEwqj8 sceRudpEnd
6PBNpsgyaxw sceRudpEnableInternalIOThread
9U9m1YH0ScQ sceRudpProcessEvents
CAbbX6BuQZ0 sceRudpCreateContext
J-6d0WTjzMc sceRudpActivate
KaPL3fbTLCA sceRudpWrite
LjwbHpEeW0A sceRudpPollDestroy
M6ggviwXpLs sceRudpPollWait
MVbmLASjn5M sceRudpPollCreate
Ms0cLK8sTtE sceRudpFlush
OMYRTU0uc4w sceRudpTerminate
Px0miD2LuW0 sceRudpGetNumberOfPacketsToRead
Qignjmfgha0 sceRudpGetRemoteInfo
SUEVes8gvmw sceRudpSetEventHandler
amuBfI-AQc4 sceRudpInit
beAsSTVWVPQ sceRudpSetMaxSegmentSize
fJ51weR1WAI sceRudpEnableInternalIOThread2
fRc1ahQppR4 sceRudpGetSizeWritable
haMpc7TFx0A sceRudpPollControl
i3STzxuwPx0 sceRudpGetStatus
l4SLBpKUDK4 sceRudpBind
mCQIhSmCP6o sceRudpGetOption
rZqWV3eXgOA sceRudpRead
sAZqO2+5Qqo sceRudpGetSizeReadable
szEVu+edXV4 sceRudpInitiate
vPzJldDSxXc sceRudpNetReceived
vfrL8gPlm2Y sceRudpGetMaxSegmentSize
wIJsiqY+BMk sceRudpGetContextStatus
yzeXuww-UWg sceRudpPollCancel
# libSceSsl
+DzXseDVkeI sceSslFreeCaList
-PoIzr3PEk0 sceSslGetMemoryPoolStats
0K1yQ6Lv-Yc sceSslTerm
0XcZknp7-Wc sceSslGetSslError
4O7+bRkRUe8 sceSslGetAlpnSelected
50R2xYaYZwE sceSslReuseConnection
7RBSTKGrmDA sceSslGetNameEntryInfo
7whYpYfHP74 sceSslGetIssuerName
Ab7+DH+gYyM sceSslLoadCert
DOwXL+FQMEY sceSslGetSerialNumber
E4a-ahM57QQ sceSslSetVerifyCallback
Eo0S65Jy28Q sceSslGetNotBefore
HJ1n138CQ2g sceSslDeleteConnection
PwsHbErG+e8 sceSslDisableVerifyOption
QWSxBzf6lAg sceSslSetMinSslVersion
R1ePzopYPYM sceSslGetNameEntryCount
RwXD8grHZHM sceSslFreeSslCertName
TDfQqO-gMbY sceSslGetCaCerts
TL86glUrmUw sceSslSetAlpn
UQ+3Qu7v3cA sceSslUnloadCert
brRtwGBu4A8 sceSslGetFingerprint
dQReuBX9sD8 sceSslGetSubjectName
hdpVEUDFW3s sceSslInit
hi0veU3L2pU sceSslRecv
iNjkt9Poblw sceSslWrite
jltWpVKtetg sceSslRead
kLB5aGoUJXg sceSslGetPem
p5bM5PPufFY sceSslSend
po1X86mgHDU sceSslEnableVerifyOption
qIvLs0gYxi0 sceSslFreeCaCerts
qOn+wm28wmA sceSslGetCaList
tuscfitnhEo sceSslCreateConnection
viRXSHZYd0c sceSslClose
xHpt6+2pGYk sceSslGetNotAfter
zXvd6iNyfgc sceSslConnect
# libSceSulpha
1ZWN9dK5-Sc sceSulphaMessage
6x06HaJWiDQ sceSulphaGetNeededMemory
SqfL0YjlBiA sceSulphaGetDefaultConfig
fpFCQLbTB1w sceSulphaInit
gLjLCP6tKuw sceSulphaShutdown
miCg4z-c1Gc sceSulphaSetBookmark
# libSceSulpha_nosubmission
1ZWN9dK5-Sc sceSulphaMessage
6x06HaJWiDQ sceSulphaGetNeededMemory
SqfL0YjlBiA sceSulphaGetDefaultConfig
fpFCQLbTB1w sceSulphaInit
gLjLCP6tKuw sceSulphaShutdown
miCg4z-c1Gc sceSulphaSetBookmark
10 stub libraries, 338 symbols
